97, 관광펜션업, 2017-11-30,폐업, 폐업, 전라북도 무주군 설천면 삼공리 522-9번지, 55557, 904.46
98, 관광펜션업, 2016-03-14,폐업, 폐업, 경기도 파주시 파평면 율곡리 307-1번지, 10809, 
99, 관광펜션업, 2005-04-28,폐업, 폐업, 경기도 양평군 단월면 덕수리 370, , 214.53
100,    관광펜션업, 2012-12-12,폐업, 폐업, 경기도 양평군 단월면 부안리, 12528, 682.09
101,    관광펜션업, 2005-06-17,폐업, 폐업, 경기도 양평군 양평읍 백안리 17-32, , 198.87
102,    관광펜션업, 2011-02-21,폐업, 폐업, 경기도 양평군 강하면 왕창리 298-1, , 263.74
103,    관광펜션업, 2004-07-21,폐업, 폐업, 강원도 횡성군 둔내면 삽교리 1460번지, 25261, 343.02
104,    관광펜션업, 2006-09-18,폐업, 폐업, 강원도 횡성군 서원면 석화리 232번지, , 65.09
105,    관광펜션업, 2015-01-07,폐업, 폐업, 전라남도 나주시 석현동 203-2번지, 58243, 66.45
106,    관광펜션업, 2014-10-23,폐업, 폐업, 전라남도 진도군 의신면 초사리 657, 58936, 
107,    관광펜션업, 2012-12-24,폐업, 폐업, 전라남도 구례군 토지면 외곡리 505-7, 57623, 
108,    관광펜션업, 2010-09-15,폐업, 폐업, 전라남도 함평군 신광면 동정리 296번지 26통, 525-852, 507.68
109,    관광펜션업, 2012-12-05,폐업, 폐업, 전라남도 함평군 해보면 대각리 538-0번지, 57115, 774.7
110,    관광펜션업, 2017-11-07,폐업, 폐업, 전라남도 함평군 해보면 광암리 393-9번지, 57115, 168.95
111,    관광펜션업, 2011-06-09,폐업, 폐업, 전라남도 담양군 금성면 덕성리 512-1번지, 57352, 8380
112,    관광펜션업, 2011-11-01,폐업, 폐업, 전라남도 담양군 금성면 덕성리 512-1번지, 57352, 
113,    관광펜션업, 2016-02-04,폐업, 폐업, 전라남도 해남군 북평면 동해리 521번지, 59054, 303
114,    관광펜션업, 2006-06-09,폐업, 폐업, 경상남도 거제시 일운면 망치리 32-2번지, , 
115,    관광펜션업, 2019-10-08,폐업, 폐업, 충청남도 보령시 신흑동 2304-7번지, 33488, 378.96
116,    관광펜션업, 2004-12-27,폐업, 폐업, 경상남도 통영시 용남면 원평리 1172번지, , 434.25
117,    관광펜션업, 2010-07-09,폐업, 폐업, 경상남도 통영시 산양읍 영운리 506번지, , 
118,    관광펜션업, 2010-07-14,폐업, 폐업, 경상남도 통영시 용남면 화삼리 945-23번지, , 
119,    관광펜션업, 2010-08-09,폐업, 폐업, 경상남도 통영시 용남면 동달리 97번지, , 
120,    관광펜션업, 2010-10-29,폐업, 폐업, 경상남도 통영시 산양읍 영운리 478번지, , 
121,    관광펜션업, 2010-10-29,폐업, 폐업, 경상남도 통영시 산양읍 영운리 478-2번지, , 
122,    관광펜션업, 2010-10-29,폐업, 폐업, 경상남도 통영시 산양읍 영운리 478-3번지, , 
123,    관광펜션업, 2011-06-14,폐업, 폐업, 경상남도 통영시 욕지면 서산리 307-15번지, , 
124,    관광펜션업, 2011-08-11,폐업, 폐업, 경상남도 통영시 용남면 동달리 164-6번지, , 
